"id";"photo";"web_name";"team_code";"status";"code";"first_name";"second_name";"squad_number";"news";"now_cost";"chance_of_playing_this_round";"chance_of_playing_next_round";"value_form";"value_season";"cost_change_start";"cost_change_event";"cost_change_start_fall";"cost_change_event_fall";"in_dreamteam";"dreamteam_count";"selected_by_percent";"form";"transfers_out";"transfers_in";"transfers_out_event";"transfers_in_event";"loans_in";"loans_out";"loaned_in";"loaned_out";"total_points";"event_points";"points_per_game";"ep_this";"ep_next";"special";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element_type";"team";"dato";"navn";"posisjon";"team_navn"
1;"62022.jpg";"Lie";2745;"a";62022;"Andreas";"Lie";1;"";49;NA;NA;"0.3";"18.8";4;0;-4;0;FALSE;3;16,1;"1.7";6715;12813;102;6;0;0;0;0;92;1;"3.4";"2.0";"2.0";FALSE;2430;0;0;3;44;1;0;4;0;92;12;0;1;1;2017-11-16;"Andreas Lie";"Keeper";"AAFK"
2;"124186.jpg";"Vestly Heigre";2364;"a";124186;"Pål";"Vestly Heigre";20;"";41;NA;NA;"0.0";"0.5";-4;0;4;0;FALSE;0;0,4;"0.0";187;53;1;1;0;0;0;0;2;0;"2.0";"0.0";"0.0";FALSE;90;0;0;0;2;0;0;0;0;4;0;0;1;13;2017-11-16;"Pål Vestly Heigre";"Keeper";"SIF"
3;"218658.jpg";"Sødergren";2745;"a";218658;"Sondre";"Sødergren";32;"";39;NA;NA;"0.0";"0.0";-1;0;1;0;FALSE;0;3,5;"0.0";633;553;1;7;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2017-11-16;"Sondre Sødergren";"Keeper";"AAFK"
4;"52335.jpg";"Ramsteijn";2745;"a";52335;"Kaj";"Ramsteijn";6;"";48;NA;NA;"0.3";"8.5";-2;0;2;0;FALSE;0;1,1;"1.3";507;113;0;0;0;0;0;0;41;2;"1.6";"1.0";"1.0";FALSE;2205;0;0;3;42;0;0;7;0;0;1;1;2;1;2017-11-16;"Kaj Ramsteijn";"Forsvar";"AAFK"
5;"64033.jpg";"Lie";2745;"a";64033;"Oddbjørn";"Lie";5;"";41;NA;NA;"0.2";"8.3";-4;-1;4;1;FALSE;0;1,3;"1.0";604;70;2;1;0;0;0;0;35;2;"1.4";"1.0";"1.0";FALSE;1402;0;0;1;25;0;0;2;0;0;0;0;2;1;2017-11-16;"Oddbjørn Lie";"Forsvar";"AAFK"
6;"79464.jpg";"Kirkeskov";2745;"a";79464;"Mikkel";"Kirkeskov";2;"";53;NA;NA;"0.2";"11.1";-2;0;2;0;FALSE;0;2,1;"1.3";1625;896;4;1;0;0;0;0;59;2;"2.2";"1.0";"1.0";FALSE;2402;0;3;3;45;0;0;2;1;0;1;0;2;1;2017-11-16;"Mikkel Kirkeskov";"Forsvar";"AAFK"
7;"98652.jpg";"Mäntylä";2745;"u";98652;"Tero";"Mäntylä";4;"Kontrakt terminert";42;0;0;"0.0";"0.0";-3;0;3;0;FALSE;0;0,3;"0.0";182;7;0;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2017-11-16;"Tero Mäntylä";"Forsvar";"AAFK"
8;"115929.jpg";"Arnarson";2745;"a";115929;"Adam";"Arnarson";22;"";43;NA;NA;"0.2";"8.8";-2;0;2;0;FALSE;0;0,9;"0.7";566;250;1;1;0;0;0;0;38;1;"2.0";"1.0";"1.0";FALSE;1581;0;1;3;27;0;0;6;0;0;0;0;2;1;2017-11-16;"Adam Arnarson";"Forsvar";"AAFK"
9;"115978.jpg";"Grétarsson";2745;"a";115978;"Daníel";"Grétarsson";3;"";47;NA;NA;"0.5";"13.4";-3;0;3;0;FALSE;2;1,1;"2.3";1116;1141;5;1;0;0;0;0;63;2;"2.4";"2.0";"2.0";FALSE;2070;1;3;4;36;0;0;4;0;0;0;1;2;1;2017-11-16;"Daníel Grétarsson";"Forsvar";"AAFK"
10;"206921.jpg";"Barstad";2745;"a";206921;"Joakim";"Barstad";37;"";37;NA;NA;"0.0";"0.3";-3;0;3;0;FALSE;0;3;"0.0";1258;520;5;5;0;0;0;0;1;0;"1.0";"0.0";"0.0";FALSE;13;0;0;0;0;0;0;0;0;0;0;0;2;1;2017-11-16;"Joakim Barstad";"Forsvar";"AAFK"
