"id";"round_id";"web_name";"status";"news";"chance_of_playing_this_round";"chance_of_playing_next_round";"ep_next";"element_type";"team";"posisjon";"team_navn";"selected_by_percent";"navn"
1;0;"Lie";"a";"";NA;NA;2;"1";1;"Keeper";"AAFK";5,1;"Andreas Lie"
2;0;"Vestly Heigre";"a";"";NA;NA;2;"1";1;"Keeper";"AAFK";0,6;"Pål Vestly Heigre"
3;0;"Sødergren";"a";"";NA;NA;1;"1";1;"Keeper";"AAFK";3,9;"Sondre Sødergren"
4;0;"Ramsteijn";"a";"";NA;NA;2;"2";1;"Forsvar";"AAFK";1,9;"Kaj Ramsteijn"
5;0;"Lie";"a";"";NA;NA;2;"2";1;"Forsvar";"AAFK";2,2;"Oddbjørn Lie"
6;0;"Kirkeskov";"a";"";NA;NA;2;"2";1;"Forsvar";"AAFK";3,3;"Mikkel Kirkeskov"
7;0;"Mäntylä";"a";"";NA;NA;2;"2";1;"Forsvar";"AAFK";0,6;"Tero Mäntylä"
8;0;"Arnarson";"a";"";NA;NA;2;"2";1;"Forsvar";"AAFK";1,5;"Adam Arnarson"
9;0;"Grétarsson";"a";"";NA;NA;2;"2";1;"Forsvar";"AAFK";1,1;"Daníel Grétarsson"
10;0;"Barstad";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";4,6;"Joakim Barstad"
11;0;"Valderhaug";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";1,4;"Lars Valderhaug"
12;0;"Riise";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";7,1;"Bjørn Helge Riise"
13;0;"Carlsen";"a";"";NA;NA;1;"3";1;"Midtbane";"AAFK";1,4;"Fredrik Carlsen"
14;0;"Gyasi";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";6;"Edwin Gyasi"
15;0;"Thrandarson";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";1,4;"Aron Elís Thrandarson"
16;0;"Hoff";"a";"";NA;NA;1;"3";1;"Midtbane";"AAFK";0,7;"Vebjørn Hoff"
17;0;"Brunstad Fet";"a";"";NA;NA;1;"3";1;"Midtbane";"AAFK";0,3;"Sondre Brunstad Fet"
18;0;"Marlinho";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";0,7;"Marlon Matheus da Silva"
19;0;"Hatlehol";"a";"";NA;NA;1;"3";1;"Midtbane";"AAFK";0,8;"Jørgen Hatlehol"
20;0;"Waagan";"a";"";NA;NA;1;"3";1;"Midtbane";"AAFK";0,8;"Anders Waagan"
21;0;"Solnørdal";"a";"";NA;NA;1;"3";1;"Midtbane";"AAFK";0,2;"Emil Solnørdal"
22;0;"Mos";"a";"";NA;NA;3;"4";1;"Angrep";"AAFK";12,6;"Mostafa Abdellaoue"
23;0;"Andreassen";"a";"";NA;NA;1;"4";1;"Angrep";"AAFK";0,3;"Sebastian Andreassen"
24;0;"Berisha";"a";"";NA;NA;2;"4";1;"Angrep";"AAFK";3,9;"Valmir Berisha"
392;0;"Tafjord";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";0,8;"Sigurd Tafjord"
413;0;"Veldwijk";"a";"";NA;NA;2;"4";1;"Angrep";"AAFK";0,4;"Lars Veldwijk"
1;2;"Lie";"a";"";NA;NA;3;"1";1;"Keeper";"AAFK";5,5;"Andreas Lie"
2;2;"Vestly Heigre";"a";"";NA;NA;0;"1";1;"Keeper";"AAFK";0,6;"Pål Vestly Heigre"
3;2;"Sødergren";"a";"";NA;NA;0;"1";1;"Keeper";"AAFK";3,7;"Sondre Sødergren"
4;2;"Ramsteijn";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";1,6;"Kaj Ramsteijn"
5;2;"Lie";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";1,9;"Oddbjørn Lie"
6;2;"Kirkeskov";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";2,8;"Mikkel Kirkeskov"
7;2;"Mäntylä";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,5;"Tero Mäntylä"
8;2;"Arnarson";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";1,2;"Adam Arnarson"
9;2;"Grétarsson";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,8;"Daníel Grétarsson"
10;2;"Barstad";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";3,9;"Joakim Barstad"
11;2;"Valderhaug";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";1,2;"Lars Valderhaug"
12;2;"Riise";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";6,4;"Bjørn Helge Riise"
13;2;"Carlsen";"a";"";NA;NA;5;"3";1;"Midtbane";"AAFK";2,4;"Fredrik Carlsen"
14;2;"Gyasi";"a";"";NA;NA;3;"3";1;"Midtbane";"AAFK";5,2;"Edwin Gyasi"
15;2;"Thrandarson";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";1,2;"Aron Elís Thrandarson"
16;2;"Hoff";"a";"";NA;NA;1;"3";1;"Midtbane";"AAFK";0,6;"Vebjørn Hoff"
17;2;"Brunstad Fet";"a";"";NA;NA;1;"3";1;"Midtbane";"AAFK";0,3;"Sondre Brunstad Fet"
18;2;"Marlinho";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,6;"Marlon Matheus da Silva"
19;2;"Hatlehol";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,7;"Jørgen Hatlehol"
20;2;"Waagan";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,7;"Anders Waagan"
21;2;"Solnørdal";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,2;"Emil Solnørdal"
22;2;"Mos";"a";"";NA;NA;4;"4";1;"Angrep";"AAFK";10,6;"Mostafa Abdellaoue"
23;2;"Andreassen";"a";"";NA;NA;0;"4";1;"Angrep";"AAFK";0,3;"Sebastian Andreassen"
24;2;"Berisha";"a";"";NA;NA;3;"4";1;"Angrep";"AAFK";3,3;"Valmir Berisha"
392;2;"Tafjord";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,7;"Sigurd Tafjord"
413;2;"Veldwijk";"a";"";NA;NA;1;"4";1;"Angrep";"AAFK";0,4;"Lars Veldwijk"
1;6;"Lie";"a";"";NA;NA;7;"1";1;"Keeper";"AAFK";11;"Andreas Lie"
2;6;"Vestly Heigre";"a";"";NA;NA;0;"1";1;"Keeper";"AAFK";0,4;"Pål Vestly Heigre"
3;6;"Sødergren";"a";"";NA;NA;0;"1";1;"Keeper";"AAFK";3,4;"Sondre Sødergren"
4;6;"Ramsteijn";"a";"";NA;NA;3;"2";1;"Forsvar";"AAFK";1,4;"Kaj Ramsteijn"
5;6;"Lie";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";1,5;"Oddbjørn Lie"
6;6;"Kirkeskov";"a";"";NA;NA;5;"2";1;"Forsvar";"AAFK";2,4;"Mikkel Kirkeskov"
7;6;"Mäntylä";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,4;"Tero Mäntylä"
8;6;"Arnarson";"a";"";NA;NA;3;"2";1;"Forsvar";"AAFK";0,9;"Adam Arnarson"
9;6;"Grétarsson";"a";"";NA;NA;5;"2";1;"Forsvar";"AAFK";0,7;"Daníel Grétarsson"
10;6;"Barstad";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";3,1;"Joakim Barstad"
11;6;"Valderhaug";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";1;"Lars Valderhaug"
12;6;"Riise";"a";"";NA;NA;3;"3";1;"Midtbane";"AAFK";4,5;"Bjørn Helge Riise"
13;6;"Carlsen";"a";"";NA;NA;4;"3";1;"Midtbane";"AAFK";3,6;"Fredrik Carlsen"
14;6;"Gyasi";"d";"Ukjent - Sjanse for å spille: 75%";NA;NA;2;"3";1;"Midtbane";"AAFK";3,5;"Edwin Gyasi"
15;6;"Thrandarson";"i";"Lysk - Sjanse for å spille: 0%";NA;NA;2;"3";1;"Midtbane";"AAFK";0,7;"Aron Elís Thrandarson"
16;6;"Hoff";"a";"";NA;NA;5;"3";1;"Midtbane";"AAFK";1,3;"Vebjørn Hoff"
17;6;"Brunstad Fet";"a";"";NA;NA;3;"3";1;"Midtbane";"AAFK";0,2;"Sondre Brunstad Fet"
18;6;"Marlinho";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,4;"Marlon Matheus da Silva"
19;6;"Hatlehol";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,6;"Jørgen Hatlehol"
20;6;"Waagan";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,6;"Anders Waagan"
21;6;"Solnørdal";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,2;"Emil Solnørdal"
22;6;"Mos";"a";"";NA;NA;5;"4";1;"Angrep";"AAFK";9,9;"Mostafa Abdellaoue"
23;6;"Andreassen";"a";"";NA;NA;0;"4";1;"Angrep";"AAFK";0,2;"Sebastian Andreassen"
24;6;"Berisha";"a";"";NA;NA;1;"4";1;"Angrep";"AAFK";2,1;"Valmir Berisha"
392;6;"Tafjord";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,6;"Sigurd Tafjord"
413;6;"Veldwijk";"a";"";NA;NA;3;"4";1;"Angrep";"AAFK";0,5;"Lars Veldwijk"
1;9;"Lie";"a";"";NA;NA;5;"1";1;"Keeper";"AAFK";18,3;"Andreas Lie"
2;9;"Vestly Heigre";"a";"";NA;NA;0;"1";1;"Keeper";"AAFK";0,4;"Pål Vestly Heigre"
3;9;"Sødergren";"a";"";NA;NA;0;"1";1;"Keeper";"AAFK";3,2;"Sondre Sødergren"
4;9;"Ramsteijn";"a";"";NA;NA;2;"2";1;"Forsvar";"AAFK";1,3;"Kaj Ramsteijn"
5;9;"Lie";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";1,4;"Oddbjørn Lie"
6;9;"Kirkeskov";"a";"";NA;NA;3;"2";1;"Forsvar";"AAFK";2,8;"Mikkel Kirkeskov"
7;9;"Mäntylä";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,3;"Tero Mäntylä"
8;9;"Arnarson";"a";"";NA;NA;3;"2";1;"Forsvar";"AAFK";1;"Adam Arnarson"
9;9;"Grétarsson";"a";"";NA;NA;3;"2";1;"Forsvar";"AAFK";0,9;"Daníel Grétarsson"
10;9;"Barstad";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";2,9;"Joakim Barstad"
11;9;"Valderhaug";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,9;"Lars Valderhaug"
12;9;"Riise";"d";"Ukjent - Sjanse for å spille: 75%";NA;NA;2;"3";1;"Midtbane";"AAFK";4;"Bjørn Helge Riise"
13;9;"Carlsen";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";3,8;"Fredrik Carlsen"
14;9;"Gyasi";"a";"";NA;NA;3;"3";1;"Midtbane";"AAFK";3,5;"Edwin Gyasi"
15;9;"Thrandarson";"d";"Hamstring - Sjanse for å spille: 75%";NA;NA;0;"3";1;"Midtbane";"AAFK";0,6;"Aron Elís Thrandarson"
16;9;"Hoff";"a";"";NA;NA;4;"3";1;"Midtbane";"AAFK";1,9;"Vebjørn Hoff"
17;9;"Brunstad Fet";"a";"";NA;NA;3;"3";1;"Midtbane";"AAFK";0,3;"Sondre Brunstad Fet"
18;9;"Marlinho";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,4;"Marlon Matheus da Silva"
19;9;"Hatlehol";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,6;"Jørgen Hatlehol"
20;9;"Waagan";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,5;"Anders Waagan"
21;9;"Solnørdal";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,2;"Emil Solnørdal"
22;9;"Mos";"a";"";NA;NA;4;"4";1;"Angrep";"AAFK";16,9;"Mostafa Abdellaoue"
23;9;"Andreassen";"a";"";NA;NA;0;"4";1;"Angrep";"AAFK";0,2;"Sebastian Andreassen"
24;9;"Berisha";"a";"";NA;NA;1;"4";1;"Angrep";"AAFK";2;"Valmir Berisha"
392;9;"Tafjord";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,6;"Sigurd Tafjord"
413;9;"Veldwijk";"a";"";NA;NA;2;"4";1;"Angrep";"AAFK";0,5;"Lars Veldwijk"
1;11;"Lie";"a";"";NA;NA;6;"1";1;"Keeper";"AAFK";21,4;"Andreas Lie"
2;11;"Vestly Heigre";"a";"";NA;NA;0;"1";1;"Keeper";"AAFK";0,4;"Pål Vestly Heigre"
3;11;"Sødergren";"a";"";NA;NA;0;"1";1;"Keeper";"AAFK";3,1;"Sondre Sødergren"
4;11;"Ramsteijn";"a";"";NA;NA;2;"2";1;"Forsvar";"AAFK";1,3;"Kaj Ramsteijn"
5;11;"Lie";"a";"";NA;NA;2;"2";1;"Forsvar";"AAFK";1,4;"Oddbjørn Lie"
6;11;"Kirkeskov";"a";"";NA;NA;4;"2";1;"Forsvar";"AAFK";2,8;"Mikkel Kirkeskov"
7;11;"Mäntylä";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,3;"Tero Mäntylä"
8;11;"Arnarson";"a";"";NA;NA;4;"2";1;"Forsvar";"AAFK";1,1;"Adam Arnarson"
9;11;"Grétarsson";"a";"";NA;NA;5;"2";1;"Forsvar";"AAFK";1,7;"Daníel Grétarsson"
10;11;"Barstad";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";2,8;"Joakim Barstad"
11;11;"Valderhaug";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,9;"Lars Valderhaug"
12;11;"Riise";"i";"Ukjent - Sjanse for å spille: 0%";NA;NA;0;"3";1;"Midtbane";"AAFK";3,8;"Bjørn Helge Riise"
13;11;"Carlsen";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";3,5;"Fredrik Carlsen"
14;11;"Gyasi";"a";"";NA;NA;6;"3";1;"Midtbane";"AAFK";5,8;"Edwin Gyasi"
15;11;"Thrandarson";"a";"";NA;NA;1;"3";1;"Midtbane";"AAFK";0,6;"Aron Elís Thrandarson"
16;11;"Hoff";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";2;"Vebjørn Hoff"
17;11;"Brunstad Fet";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";0,2;"Sondre Brunstad Fet"
18;11;"Marlinho";"a";"";NA;NA;1;"3";1;"Midtbane";"AAFK";0,4;"Marlon Matheus da Silva"
19;11;"Hatlehol";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,5;"Jørgen Hatlehol"
20;11;"Waagan";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,5;"Anders Waagan"
21;11;"Solnørdal";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,2;"Emil Solnørdal"
22;11;"Mos";"a";"";NA;NA;6;"4";1;"Angrep";"AAFK";21,7;"Mostafa Abdellaoue"
23;11;"Andreassen";"a";"";NA;NA;0;"4";1;"Angrep";"AAFK";0,2;"Sebastian Andreassen"
24;11;"Berisha";"a";"";NA;NA;1;"4";1;"Angrep";"AAFK";1,9;"Valmir Berisha"
392;11;"Tafjord";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,5;"Sigurd Tafjord"
413;11;"Veldwijk";"a";"";NA;NA;2;"4";1;"Angrep";"AAFK";0,5;"Lars Veldwijk"
1;14;"Lie";"a";"";NA;NA;2;"1";1;"Keeper";"AAFK";22,9;"Andreas Lie"
2;14;"Vestly Heigre";"a";"";NA;NA;0;"1";1;"Keeper";"AAFK";0,4;"Pål Vestly Heigre"
3;14;"Sødergren";"a";"";NA;NA;0;"1";1;"Keeper";"AAFK";3,1;"Sondre Sødergren"
4;14;"Ramsteijn";"a";"";NA;NA;2;"2";1;"Forsvar";"AAFK";1,3;"Kaj Ramsteijn"
5;14;"Lie";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";1,3;"Oddbjørn Lie"
6;14;"Kirkeskov";"a";"";NA;NA;3;"2";1;"Forsvar";"AAFK";2,8;"Mikkel Kirkeskov"
7;14;"Mäntylä";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,3;"Tero Mäntylä"
