"id";"kickoff_time";"kickoff_time_formatted";"team_h_score";"team_a_score";"was_home";"round";"total_points";"value";"transfers_balance";"selected";"transfers_in";"transfers_out";"loaned_in";"loaned_out";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element";"fixture";"opponent_team";"id_player";"dato"
1;"2017-04-02T16:00:00Z";"02. apr 18.00";3;1;FALSE;1;3;45;0;2980;0;0;0;0;90;0;0;0;3;0;0;0;0;6;0;0;1;5;12;1;2017-11-16
431;"2017-04-05T17:00:00Z";"05. apr 19.00";1;3;TRUE;2;2;45;162;3567;252;90;0;0;90;0;0;0;3;0;0;0;0;4;0;0;1;9;10;1;2017-11-16
863;"2017-04-09T18:00:00Z";"09. apr 20.00";1;1;FALSE;3;11;45;-35;3614;80;115;0;0;90;0;0;0;1;1;0;0;0;5;3;0;1;21;13;1;2017-11-16
1295;"2017-04-17T16:00:00Z";"17. apr 18.00";3;1;TRUE;4;4;45;1015;5151;1089;74;0;0;90;0;0;0;1;0;0;0;0;3;1;0;1;25;5;1;2017-11-16
1728;"2017-04-23T16:00:00Z";"23. apr 18.00";0;0;FALSE;5;9;45;492;5897;606;114;0;0;90;0;0;1;0;0;0;0;0;3;2;0;1;35;8;1;2017-11-16
2161;"2017-04-30T16:00:00Z";"30. apr 18.00";3;1;TRUE;6;3;46;915;6975;976;61;0;0;90;0;0;0;1;0;0;0;0;3;0;0;1;42;14;1;2017-11-16
2595;"2017-05-06T16:00:00Z";"06. mai 18.00";0;1;FALSE;7;10;46;473;7608;587;114;0;0;90;0;0;1;0;0;0;0;0;8;2;0;1;49;6;1;2017-11-16
3031;"2017-05-12T17:00:00Z";"12. mai 19.00";0;1;TRUE;8;3;47;2537;10288;2558;21;0;0;90;0;0;0;1;0;0;0;0;3;0;0;1;57;15;1;2017-11-16
3469;"2017-05-16T16:00:00Z";"16. mai 18.00";1;2;FALSE;9;5;48;1067;11434;1117;50;0;0;90;0;0;0;1;0;0;1;0;4;3;0;1;72;16;1;2017-11-16
3907;"2017-05-21T16:00:00Z";"21. mai 18.00";2;0;TRUE;10;7;49;1159;12674;1203;44;0;0;90;0;0;1;0;0;0;0;0;4;0;0;1;75;9;1;2017-11-16
4346;"2017-05-28T16:00:00Z";"28. mai 18.00";1;1;FALSE;11;3;50;879;13711;961;82;0;0;90;0;0;0;1;0;0;1;0;5;1;0;1;82;2;1;2017-11-16
4785;"2017-06-04T16:00:00Z";"04. jun 18.00";0;1;TRUE;12;2;51;1487;15297;1519;32;0;0;90;0;0;0;1;0;0;0;0;1;0;0;1;91;3;1;2017-11-16
5224;"2017-06-17T16:00:00Z";"17. jun 18.00";1;1;FALSE;13;2;52;446;15816;491;45;0;0;90;0;0;0;1;0;0;0;0;1;0;0;1;97;4;1;2017-11-16
5663;"2017-06-25T16:00:00Z";"25. jun 18.00";5;1;TRUE;14;2;52;154;16004;242;88;0;0;90;0;0;0;1;0;0;0;0;2;0;0;1;131;7;1;2017-11-16
6102;"2017-07-01T18:15:00Z";"01. jul 20.15";1;0;FALSE;15;3;52;92;16137;206;114;0;0;90;0;0;0;1;0;0;0;0;4;0;0;1;113;11;1;2017-11-16
6542;"2017-07-08T16:00:00Z";"08. jul 18.00";0;3;TRUE;16;0;52;-22;16165;177;199;0;0;90;0;0;0;3;0;0;1;0;2;0;0;1;115;6;1;2017-11-16
6867;"2017-07-16T16:00:00Z";"16. jul 18.00";2;0;FALSE;17;0;52;-1249;14930;56;1305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;126;3;1;2017-11-16
7307;"2017-08-06T18:00:00Z";"06. aug 20.00";3;3;TRUE;18;2;51;-548;14398;106;654;0;0;90;0;0;0;3;0;0;0;0;3;0;0;1;137;2;1;2017-11-16
7786;"2017-08-13T16:00:00Z";"13. aug 18.00";1;1;TRUE;19;2;51;-36;14378;243;279;0;0;90;0;0;0;1;0;0;0;0;0;0;0;1;145;16;1;2017-11-16
8272;"2017-08-20T16:00:00Z";"20. aug 18.00";3;2;FALSE;20;2;51;-272;14129;162;434;0;0;90;0;0;0;3;0;0;0;0;3;0;0;1;159;14;1;2017-11-16
8768;"2017-09-10T16:00:00Z";"10. sep 18.00";1;1;TRUE;21;5;51;-419;13722;40;459;0;0;90;0;0;0;1;0;0;0;0;9;0;0;1;161;12;1;2017-11-16
9266;"2017-09-18T17:00:00Z";"18. sep 19.00";3;2;FALSE;22;1;51;-253;13474;63;316;0;0;90;0;0;0;3;0;0;0;0;2;0;0;1;170;7;1;2017-11-16
9828;"2017-09-24T16:00:00Z";"24. sep 18.00";0;1;TRUE;23;3;51;-263;13218;35;298;0;0;90;0;0;0;1;0;0;0;0;3;0;0;1;177;11;1;2017-11-16
